"Rank","EmaID","Surname","Name","Points","Total","Power"
1, 04160081, FOUQUES, JULIEN, 1, 173900, 1000
2, 21000014, ZUBENKO, ANNA, 1, 127500, 968
3, 04040048, HUYNH, JOE-CALBERSON, 1, 126600, 935
4, 04310012, COURTOIS, VALENTIN, 1, 118800, 903
5, 24000003, GRANT, MAHONEY, -, EMA, GUEST, -, 1, 88900, 871
6, 04530002, DAURIAC, ALEXANDRE, 1, 58400, 839
7, 02010052, NAERT, LIES, 1, 46800, 806
8, 25000003, PETRARU, MIHNEA, 1, 46700, 774
9, 05100168, GÃ–SER, THERESA, 1, 44900, 742
10, -, ZHANG, YANG, 1, 44200, -
11, 01000053, WEINGUNY, LENA, 1, 35500, 677
12, 25000009, GADALEAN, DAVID, 1, 29400, 645
13, 09990047, GERMEYS, JASPER, 1, 15200, 613
14, 08010436, POTMEER, PIETER, 1, 3500, 581
15, 25000002, VAN DER SLUIJS, MICHAEL, 1, 3000, 548
16, 11990143, KOH, JUSTIN, 1, -2900, 516
17, 09990127, TRISHINA, KSENIA, 1, -33300, 484
18, 01000154, MOHSENZADA, ELMAR, 1, -40200, 452
19, 25000005, KHEZAM, MIRELA LUCIA, 1, -41900, 419
20, 05100166, SCHLICH, MANUEL, 1, -42300, 387
21, 05100182, SCHULTHEISS, KEN NICO, 1, -43600, 355
22, 25000008, LUNTRARU, CHRIS, 1, -52000, 323
23, 21000005, BALANYUK, VITALY, 1, -54000, 290
24, 04160080, CHEN, CHAOLEI, 1, -54600, 258
25, 08010737, BOUWMAN, IVAR, 1, -57400, 226
26, 05100181, KAMEDA, HIROSHI, 1, -58900, 194
27, 05100167, TOBIAS, FRANK, 1, -84000, 161
28, 02000005, DIOP, FARY, 1, -101100, 129
29, 05100153, HAHN, TIMUR, 1, -120300, 97
30, 25000007, MOCANU, MADALINA, 1, -132400, 65
31, 25000006, POPA, ALECIO LIVIO, 1, -167600, 32
32, -, SUBSTITUT, PLAYER, 1, -270000, 0